feature_0,feature_4,feature_6,feature_7,feature_8,feature_9,feature_10,feature_15,feature_19,feature_22,feature_23,feature_24,feature_25,feature_29,feature_30,feature_31,feature_46,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_74,feature_75,feature_78,feature_79,feature_80,feature_84,feature_85,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_101,feature_102,feature_103,feature_104,feature_106,feature_107,feature_108,feature_114,feature_115,feature_117,feature_124,feature_126,feature_127,feature_129,feature_132,feature_135,feature_136,feature_141,feature_143,feature_145,feature_146,feature_148,feature_149,feature_153,feature_155,feature_156,feature_158,feature_159,feature_165,feature_169,feature_170,feature_171,feature_175,feature_176,feature_177,feature_180,feature_183,feature_184,feature_185,feature_187,feature_188,feature_192,feature_193,feature_198,feature_199,feature_200,feature_202,feature_203,feature_204,feature_205,feature_209,feature_211,feature_212,IC50_mM,CC50_mM,SI,log_ic50,log_cc50,log_si
11,2.589341563786008,0.3802210884353738,0.3802210884353738,0.6402829083318621,33.25,328.5640000000001,0.08373443832014982,1.125,15.28234254758229,9.493121969001452,2.529044342094073,-2.560380670350534,-0.8778194190700686,2.438290333985432,2.002456526352076,149913.4046044263,4.483030857694624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.31487162707333,59.6244435285146,5.41499046939678,27.68777235394414,0.0,0.0,0.0,11.33289651555817,71.13195342895072,27.68777235394414,0.0,0.0,0.0,32.17080321163877,11.83581209232279,0.0,0.0,0.0,0.0,16.74788698495495,10.40093690385602,44.21231601223963,11.12690298339399,0.0,67.03706595217888,0.0,1.08554007443708,0.0,0.0,5.69068136127908,1.462168361165249,6.819360932644663,11.09572932066664,7.09191157868106,0,2,0,0,3,5.526500000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43.52245819713544,72.43597937705059,1.664335664335664,3.7959937404521007,4.296413997769043,0.9799547448667935
12,6.177276680734022,0.3827742009088004,0.3827742009088004,0.4407887670643804,38.0,472.7170000000003,0.1270799582961356,0.6,16.4805577520454,9.689090392534677,2.617957681245817,-2.395598108708276,0.1421584676853151,3.337073624442143,1.065014883343977,105375761.6128024,15.37044016181271,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.54242319814374,120.5516402551589,23.45845420766305,0.0,11.37477254936712,0.0,0.0,33.49577396990991,92.15103459399572,10.63357720801266,11.49902366656781,15.37044016181271,0.0,12.08368165829592,0.0,0.0,0.0,0.0,0.0,33.74364353588304,23.3348357588906,49.89970228692319,0.0,0.0,100.7069369538493,4.736862953800049,6.177276680734022,0.0,7.715112983611153,4.031772832731156,3.474706105676774,8.044148793022343,14.88500483144503,0.0,0,4,0,0,6,8.732300000000004,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.3685902860044,634.6251480792013,3.045685279187818,5.344096288551344,6.454608999769092,1.3976509500522267
13,13.40089943619525,0.1173663470017638,-0.2592572515117155,0.6776977998882487,28.89655172413793,398.6350000000001,0.225795262508632,1.206896551724138,16.15072689164189,9.492302048348856,2.543244777485806,-2.542828379897654,-0.1385599350871279,2.701059926730339,1.802235408113201,2502164.677965623,10.21669833485681,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,66.16234602645459,72.71395634033975,13.08951281182515,5.41499046939678,5.907179729351506,0.0,10.21669833485681,11.33289651555817,84.97942782833196,26.1790256236503,0.0,5.316788604006331,0.0,36.98611508385229,16.63034927639461,0.0,0.0,0.0,16.73716066814507,11.83581209232279,51.86231211535434,23.11117609801699,0.0,0.0,69.95822273838537,0.0,0.0,15.77268987001159,3.309675450044317,4.343918730003723,1.274510359712987,5.596823094200439,17.37733775165996,0.0,0,2,0,0,3,5.278300000000005,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.128846544600727,5.76966011684816,5.111111111111111,0.7555803046854307,1.9124508813578727,1.8101086078962514
14,13.51682914141067,0.1159195877425045,-0.2606744850718061,0.5939755186392852,28.73333333333333,413.6700000000002,0.2259569363411612,1.2,16.1507484075899,9.492297887023657,2.543999050885461,-2.54291084544554,-0.9044505924121932,2.724713606545579,1.801665452995888,3484058.592126554,9.799819461700956,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,52.31487162707333,73.47191792789584,0.0,38.64168807572427,5.907179729351506,0.0,5.316788604006331,11.33289651555817,84.97942782833196,33.22669760632749,0.0,5.316788604006331,0.0,43.61690819337362,16.63034927639461,0.0,0.0,0.0,10.82998093879356,17.74299182167429,56.34534297304897,23.11117609801699,0.0,0.0,72.10598499021211,0.0,1.017557580719124,13.51682914141067,3.360925450044317,4.347639258055024,1.284595734757153,5.604839675833092,17.74256671361511,2.286737238388608,0,2,0,0,3,5.422900000000006,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.63644626660736,79.0481347541047,7.431818181818182,2.4541420921326043,4.382628138160691,2.132012428689174
15,2.741288643582114,0.5413507055464577,0.5413507055464577,0.379590592721592,43.4,416.7380000000002,0.01539980686982168,0.6,15.16048911264968,9.685882295475244,2.625182033708714,-2.432559724251623,0.05522979123943213,3.208016528781523,1.149013843848673,4892138.589945545,9.799819461700956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38406644399575,112.0472037304975,12.08368165829592,0.0,0.0,0.0,9.799819461700956,33.49577396990991,117.8343210856998,27.18485677717953,0.0,0.0,0.0,49.0683578971764,0.0,0.0,0.0,0.0,0.0,21.65996187758712,23.91949375061871,77.29772904108526,0.0,0.0,65.43758662519906,0.0,0.0,5.482577287164228,0.0,2.168815257051812,1.922548514309184,14.31350014411158,17.9788907594322,4.829463331905265,0,4,0,0,4,6.840000000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,110.1406152517157,110.1406152517157,1.0,4.7107962036625795,4.7107962036625795,0.6931471805599453
16,3.96317548707721,0.5359385804633786,0.5359385804633786,0.4050383767947234,44.06896551724138,402.7110000000002,0.01288657023381077,0.5862068965517241,14.974253646215,9.689291157762858,2.614026571818135,-2.394126746350383,0.120594299048093,3.17926985320412,1.046187172493626,3572141.766774113,10.63357720801266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.80488806692176,97.95185976514314,12.08368165829592,0.0,0.0,0.0,10.63357720801266,33.49577396990991,124.2551427086258,13.08951281182515,0.0,10.63357720801266,0.0,25.17319447012107,0.0,0.0,0.0,0.0,0.0,21.65996187758712,23.91949375061871,83.71855066401129,0.0,0.0,52.1760004061564,0.0,0.0,0.0,7.92635097415442,2.160698271532776,1.917438697056978,15.59723063456195,17.68937660258408,0.0,0,4,0,0,4,6.545700000000007,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.228105375292082,10.42926352017442,3.23076923076923,1.4417539908980004,2.4361770418002675,1.442383827770934
17,2.742324258545225,0.5435430340905595,0.5435430340905595,0.3372330308181192,42.38709677419355,430.7650000000003,0.01539980686976935,0.5806451612903226,15.15980771577602,9.685969793969653,2.625109226977481,-2.431568223025765,0.05615714824331806,3.234404287389667,1.109559074819464,7979783.178463429,9.799819461700956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.80488806692176,112.0472037304975,12.08368165829592,0.0,0.0,0.0,9.799819461700956,33.49577396990991,124.2551427086258,27.18485677717953,0.0,0.0,0.0,49.0683578971764,0.0,0.0,0.0,0.0,0.0,21.65996187758712,23.91949375061871,83.71855066401129,0.0,0.0,65.43758662519906,0.0,0.0,5.48464851709045,0.0,2.176475883586611,1.925660261817004,15.77921250099999,17.9928235764317,4.831441871859163,0,4,0,0,4,7.230100000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40.3930663212363,1160.72029658725,28.73563218390805,3.7231133866415256,7.0576571998200635,3.3923460635314453
18,12.2152639335055,0.009694822373393919,-3.865746632758041,0.7397026519634935,31.38461538461538,398.9520000000001,0.309161950495995,1.269230769230769,35.73294425122507,9.495126721731918,2.550001399687504,-2.533876323922629,-0.1569753467380439,2.520549666192786,2.238376265900245,365043.6465057026,5.106527394840706,0.0,0.0,0.0,9.050820825821477,5.969305287951849,4.794537184071822,8.417796984328938,0.0,0.0,33.25840029045949,72.61454779666684,10.68238925988949,10.31047394491456,25.70251537366281,0.0,0.0,11.33289651555817,76.02743690446849,0.0,0.0,0.0,10.68238925988949,19.49362966712149,25.68117010221609,0.0,0.0,0.0,22.14628603723734,6.42082162292601,42.37364096679502,0.0,6.06636706846161,26.83757866753348,6.923737199690624,10.68238925988949,24.430527867011,12.21597381471209,9.882600910760182,1.749981392248258,-0.7126024257439605,3.959056249300131,7.880229859890679,1.889672146636432,0,2,0,0,3,4.832400000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.6667250540384,751.9682769649559,1.0,6.30017409395019,6.624023098047847,0.6931471805599453
19,6.320833333333334,0.3003472222222221,0.3003472222222221,0.5620664127719119,60.27272727272727,151.253,0.01618411201662093,0.8181818181818182,14.78866437460914,9.531930652599877,2.481276293938632,-2.547052669565891,0.0003654170496190726,1.787472375890056,1.940003547175709,434.3557873412837,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27864787604024,5.538925252383345,0.0,0.0,0.0,0.0,23.48738561564636,44.0638549899394,0.0,0.0,5.733667477162185,0.0,5.538925252383345,0.0,0.0,0.0,0.0,0.0,5.538925252383345,17.75371813848418,38.52492973755606,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.621180555555556,3.059027777777777,8.569791666666667,0.0,0.0,0,4,0,0,4,1.9139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.13053539079958,283.6288627077631,4.422680412371134,4.176393492865373,5.651186095509253,1.690590234234327
20,6.167037037037037,0.5859259259259259,0.5859259259259259,0.5607454125726653,60.27272727272727,151.253,0.009599060274319763,0.7272727272727273,14.72588303737661,9.542292990918316,2.459637759732241,-2.527790950210241,0.0003492943488164301,1.979916849484787,1.907860171488034,570.2160526516187,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.77573229927562,6.041840829147961,0.0,0.0,0.0,0.0,29.40529166180775,38.14594894377801,0.0,0.0,5.733667477162185,0.0,6.041840829147961,0.0,0.0,0.0,0.0,0.0,6.041840829147961,23.67162418464557,25.68328649170404,6.42082162292601,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.167037037037037,4.006574074074074,7.40712962962963,0.0,0.0,0,4,0,0,4,1.7698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.4630489111032,244.6216298411943,0.8061002178649236,5.7185497297408014,5.503792261781077,0.5911699450747496
