Original,New
VSA_EState7,feature_106
VSA_EState8,feature_107
VSA_EState9,feature_108
FractionCSP3,feature_109
HeavyAtomCount,feature_110
NHOHCount,feature_111
NOCount,feature_112
NumAliphaticCarbocycles,feature_113
NumAliphaticHeterocycles,feature_114
NumAliphaticRings,feature_115
NumAromaticCarbocycles,feature_116
NumAromaticHeterocycles,feature_117
NumAromaticRings,feature_118
NumHAcceptors,feature_119
NumHDonors,feature_120
NumHeteroatoms,feature_121
NumRotatableBonds,feature_122
NumSaturatedCarbocycles,feature_123
NumSaturatedHeterocycles,feature_124
NumSaturatedRings,feature_125
RingCount,feature_126
MolLogP,feature_127
MolMR,feature_128
fr_Al_COO,feature_129
fr_Al_OH,feature_130
fr_Al_OH_noTert,feature_131
fr_ArN,feature_132
fr_Ar_COO,feature_133
fr_Ar_N,feature_134
fr_Ar_NH,feature_135
fr_Ar_OH,feature_136
fr_COO,feature_137
fr_COO2,feature_138
fr_C_O,feature_139
fr_C_O_noCOO,feature_140
fr_C_S,feature_141
fr_HOCCN,feature_142
fr_Imine,feature_143
fr_NH0,feature_144
fr_NH1,feature_145
fr_NH2,feature_146
fr_N_O,feature_147
fr_Ndealkylation1,feature_148
fr_Ndealkylation2,feature_149
fr_Nhpyrrole,feature_150
fr_SH,feature_151
fr_aldehyde,feature_152
fr_alkyl_carbamate,feature_153
fr_alkyl_halide,feature_154
fr_allylic_oxid,feature_155
fr_amide,feature_156
fr_amidine,feature_157
fr_aniline,feature_158
fr_aryl_methyl,feature_159
fr_azide,feature_160
fr_azo,feature_161
fr_barbitur,feature_162
fr_benzene,feature_163
fr_benzodiazepine,feature_164
fr_bicyclic,feature_165
fr_diazo,feature_166
fr_dihydropyridine,feature_167
fr_epoxide,feature_168
fr_ester,feature_169
fr_ether,feature_170
fr_furan,feature_171
fr_guanido,feature_172
fr_halogen,feature_173
fr_hdrzine,feature_174
fr_hdrzone,feature_175
fr_imidazole,feature_176
fr_imide,feature_177
fr_isocyan,feature_178
fr_isothiocyan,feature_179
fr_ketone,feature_180
fr_ketone_Topliss,feature_181
fr_lactam,feature_182
fr_lactone,feature_183
fr_methoxy,feature_184
fr_morpholine,feature_185
fr_nitrile,feature_186
fr_nitro,feature_187
fr_nitro_arom,feature_188
fr_nitro_arom_nonortho,feature_189
fr_nitroso,feature_190
fr_oxazole,feature_191
fr_oxime,feature_192
fr_para_hydroxylation,feature_193
fr_phenol,feature_194
fr_phenol_noOrthoHbond,feature_195
fr_phos_acid,feature_196
fr_phos_ester,feature_197
fr_piperdine,feature_198
fr_piperzine,feature_199
fr_priamide,feature_200
fr_prisulfonamd,feature_201
fr_pyridine,feature_202
fr_quatN,feature_203
fr_sulfide,feature_204
fr_sulfonamd,feature_205
fr_sulfone,feature_206
fr_term_acetylene,feature_207
fr_tetrazole,feature_208
fr_thiazole,feature_209
fr_thiocyan,feature_210
fr_thiophene,feature_211
fr_unbrch_alkane,feature_212
fr_urea,feature_213
